LINE,LINE_NAME,REMAKE,REMAKE_LINK,PR,ITEM,ITEM1,ITEM2,ITEM3,CLASS,LENG,UNIT,COLOR,QTY,START_D,START_T,EST_COM_D,EST_COM_T,ACT_COM_D,ACT_COM_T,DELAY_DAY,COM_STATUS,COMP_PCS,MC_DATE,MC_TIME,STATUS,PRINT_D,PRINT_T,RUPUQ0,RUPTQ0
"315-11","5CN COMBI CHAIN                    ","","","PR11915044","8010839","05 CNF CHAIN PB16 DYED             ","COMB-B EL-R3674 GREEN-F MCULGRE704 ","MCURFC-1                           ","CH",""," ","VN154",238.6,20241227,140001,20250102,140000,20241228,85751,"ONTIME","COMPLETED",257.5,20241227,231356,"01E",20241227,152132,20251126,204500
"315-11","5CN COMBI CHAIN                    ","","","PR11915074","8012969","05 CNF CHAIN PB16 DYED             ","COMB-B EL-329 GREEN-F MCULBLK780   ","MCURGRE704                         ","CH",""," ","VN159",600,20241227,140001,20250102,140000,20241228,85847,"ONTIME","COMPLETED",601.6,20241227,190754,"01E",20241227,124624,20251110,195129
"315-11","5CN COMBI CHAIN                    ","","","PR11915054","8010839","05 CNF CHAIN PB16 DYED             ","COMB-B EL-R3674 GREEN-F MCULGRE704 ","MCURFC-1                           ","CH",""," ","VN154",186.8,20241227,140001,20250102,140000,20241228,85819,"ONTIME","COMPLETED",190.9,20241227,231339,"01E",20241227,152106,20251126,83903
"315-11","5CN COMBI CHAIN                    ","","","PR11915064","8012969","05 CNF CHAIN PB16 DYED             ","COMB-B EL-329 GREEN-F MCULBLK780   ","MCURGRE704                         ","CH",""," ","VN159",412.8,20241227,140001,20250102,140000,20241228,85848,"ONTIME","COMPLETED",422,20241227,142552,"01E",20241227,124650,20251111,35711
"315-11","5CN COMBI CHAIN                    ","","","PR11915074","8012969","05 CNF CHAIN PB16 DYED             ","COMB-B EL-329 GREEN-F MCULBLK780   ","MCURGRE704                         ","CH",""," ","VN159",600,20241227,140001,20250102,140000,20241228,85847,"ONTIME","COMPLETED",601.6,20241227,190754,"01E",20241227,124624,"",""
"315-11","5CN COMBI CHAIN                    ","","","PR11915064","8012969","05 CNF CHAIN PB16 DYED             ","COMB-B EL-329 GREEN-F MCULBLK780   ","MCURGRE704                         ","CH",""," ","VN159",412.8,20241227,140001,20250102,140000,20241228,85848,"ONTIME","COMPLETED",422,20241227,142552,"01E",20241227,124650,20251110,195129
"315-11","5CN COMBI CHAIN                    ","","","PR11915054","8010839","05 CNF CHAIN PB16 DYED             ","COMB-B EL-R3674 GREEN-F MCULGRE704 ","MCURFC-1                           ","CH",""," ","VN154",186.8,20241227,140001,20250102,140000,20241228,85819,"ONTIME","COMPLETED",190.9,20241227,231339,"01E",20241227,152106,20251117,92842
"315-11","5CN COMBI CHAIN                    ","","","PR11915074","8012969","05 CNF CHAIN PB16 DYED             ","COMB-B EL-329 GREEN-F MCULBLK780   ","MCURGRE704                         ","CH",""," ","VN159",600,20241227,140001,20250102,140000,20241228,85847,"ONTIME","COMPLETED",601.6,20241227,190754,"01E",20241227,124624,20251007,231126
"315-11","5CN COMBI CHAIN                    ","","","PR11915074","8012969","05 CNF CHAIN PB16 DYED             ","COMB-B EL-329 GREEN-F MCULBLK780   ","MCURGRE704                         ","CH",""," ","VN159",600,20241227,140001,20250102,140000,20241228,85847,"ONTIME","COMPLETED",601.6,20241227,190754,"01E",20241227,124624,20251111,35711
"315-11","5CN COMBI CHAIN                    ","","","PR11915044","8010839","05 CNF CHAIN PB16 DYED             ","COMB-B EL-R3674 GREEN-F MCULGRE704 ","MCURFC-1                           ","CH",""," ","VN154",238.6,20241227,140001,20250102,140000,20241228,85751,"ONTIME","COMPLETED",257.5,20241227,231356,"01E",20241227,152132,20251126,83903
