EPFURZ,EPFTRZ,PSOFRZ,PSHNRZ,PIPCRZ,PCLCRZ,ITMCRZ,IT1IA0,CLRCRZ,ALCQRZ,RTVQRZ,ELSQRZ,BKTNRZ,WABCRZ,MSACRZ,SOACRZ,CCRCRZ,EUCWRZ,SLCCRZ,COMFRZ,LN1CRZ,LN2CRZ,RADURZ,RADTRZ,RUPURZ,RUPTRZ,LNGVRZ,SHENQ0,RUPUQ0,RUPTQ0
"20251128",140000,"0","PR11607505","6518734","501NA","6386544","03 CF PB12 TAPE DYED               ","501NA  ",26.6,26.6,16.3,"05016310      ","05007970      ","CUT       ","CFCH      ","501NA","     ","310         ","5","315","91  ","20251126","230018","20251127","031918","","09C315000000",20251127,43158
"20251128",140000,"0","PR11583685","8010703","VN146","3872575","05 CN PB16 TAPE DYED               ","  329  ",28.7,"",27,"06024160      ","              ","          ","CFCH      ","VN146","     ","310         ","5","315","11  ","20251126","091740","20251126","103510","","B103902703  ",20251127,55334
"20251128",140000,"0","PR11583685","8010703","VN146","3872575","05 CN PB16 TAPE DYED               ","  329  ",46.1,46.1,43.4,"06021300      ","05026160      ","CUT       ","CFCH      ","VN146","     ","310         ","5","315","11  ","20251126","091740","20251126","103610","","B105502405  ",20251127,30917
"20251128",140000,"0","PR11583685","8010703","VN146","3872575","05 CN PB16 TAPE DYED               ","  329  ",260.4,"",245.5,"06006870      ","              ","          ","CFCH      ","VN146","     ","310         ","5","315","11  ","20251126","091740","20251126","103444","","B103002203  ",20251127,30248
"20251128",140000,"0","PR11583685","8010703","VN146","3872575","05 CN PB16 TAPE DYED               ","  329  ",23.1,"",21.7,"05027730      ","              ","          ","CFCH      ","VN146","     ","310         ","5","315","11  ","20251126","091740","20251126","103624","","B104501705  ",20251127,100706
"20251128",140000,"0","PR11583685","8010703","VN146","3872575","05 CN PB16 TAPE DYED               ","  301  ",237.3,"",223.7,"07098050      ","              ","          ","CFCH      ","VN146","     ","310         ","5","315","11  ","20251126","091740","20251126","103534","","","",""
"20251128",140000,"0","PR11583685","8010703","VN146","3872575","05 CN PB16 TAPE DYED               ","  301  ",121,121,114.1,"07049700      ","05023300      ","CUT       ","CFCH      ","VN146","     ","310         ","5","315","11  ","20251126","091740","20251126","103414","","B105001302  ",20251127,25944
"20251128",140000,"0","PR11583685","8010703","VN146","3603616","05 CI CHAIN PB16 DYED              ","  301  ",332.2,"",313.3,"07070660      ","              ","          ","CFCH      ","VN146","     ","310         ","5","315","11  ","20251126","091740","20251126","102856","","CUT         ",20251127,120649
"20251128",140000,"0","PR11583685","8010703","VN146","3603616","05 CI CHAIN PB16 DYED              ","  301  ",29.5,29.5,27.8,"07007740      ","06007640      ","CUT       ","CFCH      ","VN146","     ","310         ","5","315","11  ","20251126","091740","20251126","103553","","B104002605  ",20251127,30435
"20251127",235959,"0","PR11583705","8010703","VN146","3872575","05 CN PB16 TAPE DYED               ","  329  ",15.3,"",10.2,"06024160      ","              ","          ","CFCH      ","VN146","     ","310         ","5","315","92  ","20251126","091740","20251126","103510","","B103902703  ",20251127,55334
"20251127",235959,"0","PR11583705","8010703","VN146","3872575","05 CN PB16 TAPE DYED               ","  301  ",15.3,"",10.2,"07098050      ","              ","          ","CFCH      ","VN146","     ","310         ","5","315","92  ","20251126","091740","20251126","103534","","","",""
"20251127",235959,"0","PR11583705","8010703","VN146","3603616","05 CI CHAIN PB16 DYED              ","  301  ",9.1,"",5.9,"07070660      ","              ","          ","CFCH      ","VN146","     ","310         ","5","315","92  ","20251126","091740","20251126","102856","","CUT         ",20251127,120649
"20251127",235959,"0","PR11583705","8010703","VN146","3603616","05 CI CHAIN PB16 DYED              ","  301  ",6.4,"",4.2,"06002770      ","              ","          ","CFCH      ","VN146","     ","310         ","5","315","92  ","20251126","091740","20251126","102842","","B102902704  ",20251127,54905
"20251127",235959,"0","PR11583695","8010703","VN146","3872575","05 CN PB16 TAPE DYED               ","  329  ",15.3,"",10.2,"06024160      ","              ","          ","CFCH      ","VN146","     ","310         ","5","315","92  ","20251126","091740","20251126","103510","","B103902703  ",20251127,55334
"20251127",235959,"0","PR11583695","8010703","VN146","3872575","05 CN PB16 TAPE DYED               ","  301  ",15.3,"",10.2,"07098050      ","              ","          ","CFCH      ","VN146","     ","310         ","5","315","92  ","20251126","091740","20251126","103534","","","",""
"20251127",235959,"0","PR11583695","8010703","VN146","3603616","05 CI CHAIN PB16 DYED              ","  301  ",15.5,"",10.2,"06002770      ","              ","          ","CFCH      ","VN146","     ","310         ","5","315","92  ","20251126","091740","20251126","102842","","B102902704  ",20251127,54905
"20251126",235959,"0","PR11510685","8012972","VN149","3872575","05 CN PB16 TAPE DYED               ","501NA  ",477.8,477.8,472.6,"07081290      ","06001810      ","CUT       ","CFCH      ","VN149","     ","310         ","5","315","11  ","20251124","150237","20251124","204031","","B105702604  ",20251127,30828
"20251126",235959,"0","PR11510685","8012972","VN149","3872575","05 CN PB16 TAPE DYED               ","  115  ",477.8,477.8,472.6,"07028330      ","06014960      ","CUT       ","CFCH      ","VN149","     ","310         ","5","315","11  ","20251124","150237","20251124","195040","","CFCH        ",20251124,195030
"20251126",235959,"0","PR11510685","8012972","VN149","3603616","05 CI CHAIN PB16 DYED              ","  115  ",458.7,458.7,453.8,"07074420      ","07062250      ","CUT       ","CFCH      ","VN149","     ","310         ","5","315","11  ","20251124","150237","20251124","195023","","","",""
"20251126",235959,"0","PR11510685","8012972","VN149","3603616","05 CI CHAIN PB16 DYED              ","  115  ",23.8,23.8,23.5,"07062250      ","06016540      ","CUT       ","CFCH      ","VN149","     ","310         ","5","315","11  ","20251124","150237","20251124","195003","","","",""
"20251126",235959,"0","PR11502875","8012973","VN148","3872575","05 CN PB16 TAPE DYED               ","501NA  ",308.8,308.8,305.4,"07020860      ","05029470      ","CUT       ","CFCH      ","VN148","     ","310         ","5","315","11  ","20251124","132638","20251124","194900","","B104702401  ",20251127,25809
"20251126",235959,"0","PR11502875","8012973","VN148","3872575","05 CN PB16 TAPE DYED               ","501NA  ",170.4,"",168.5,"05009070      ","              ","          ","CFCH      ","VN148","     ","310         ","5","315","11  ","20251124","132638","20251124","194831","","CFCH        ",20251124,194821
"20251126",235959,"0","PR11502875","8012973","VN148","3872575","05 CN PB16 TAPE DYED               ","  115  ",479.2,479.2,474,"07062710      ","07092750      ","CUT       ","CFCH      ","VN148","     ","310         ","5","315","11  ","20251124","132638","20251124","194927","","CFCH        ",20251124,194917
"20251126",235959,"0","PR11502875","8012973","VN148","3603616","05 CI CHAIN PB16 DYED              ","  115  ",483.9,483.9,478.7,"07062250      ","07031190      ","CUT       ","CFCH      ","VN148","     ","310         ","5","315","11  ","20251124","132638","20251124","194940","","CFCH        ",20251124,194931
"20251126",235959,"0","PR11493735","8013607","VN158","3872575","05 CN PB16 TAPE DYED               ","  580  ",149.6,149.6,144.4,"06003200      ","05028710      ","CUT       ","CFCH      ","VN158","     ","310         ","5","315","11  ","20251124","092424","20251124","161130","","","",""
"20251126",235959,"0","PR11493735","8013607","VN158","3872575","05 CN PB16 TAPE DYED               ","  329  ",149.6,149.6,144.4,"06021300      ","05005190      ","CUT       ","CFCH      ","VN158","     ","310         ","5","315","11  ","20251124","092424","20251124","161040","","","",""
"20251126",235959,"0","PR11493735","8013607","VN158","3603616","05 CI CHAIN PB16 DYED              ","  329  ",146.1,146.1,141.1,"07046430      ","06005510      ","CUT       ","CFCH      ","VN158","     ","310         ","5","315","11  ","20251124","092424","20251124","161117","","CFCH        ",20251124,161108
"20251126",235959,"0","PR11493735","8013607","VN158","3603616","05 CI CHAIN PB16 DYED              ","  329  ",4.9,"",4.7,"07016540      ","              ","          ","CFCH      ","VN158","     ","310         ","5","315","11  ","20251124","092424","20251124","161100","","","",""
"20251126",140000,"0","PR11477515","8012969","VN159","3872575","05 CN PB16 TAPE DYED               ","  580  ",151.5,"",146.9,"06023080      ","              ","          ","CFCH      ","VN159","     ","310         ","5","315","11  ","20251121","190308","20251124","062027","","315         ",20251125,134907
"20251126",140000,"0","PR11477515","8012969","VN159","3872575","05 CN PB16 TAPE DYED               ","  580  ",18.5,18.5,17.9,"06003200      ","05013680      ","CUT       ","CFCH      ","VN159","     ","310         ","5","315","11  ","20251121","190308","20251124","061951","","315         ",20251125,134907
"20251126",140000,"0","PR11477515","8012969","VN159","3872575","05 CN PB16 TAPE DYED               ","  329  ",170,170,164.8,"06019820      ","06004300      ","CUT       ","CFCH      ","VN159","     ","310         ","5","315","11  ","20251121","190308","20251124","062041","","B102200301  ",20251127,25651
"20251126",140000,"0","PR11477515","8012969","VN159","3603616","05 CI CHAIN PB16 DYED              ","  329  ",171.6,171.6,166.4,"07046430      ","06017530      ","CUT       ","CFCH      ","VN159","     ","310         ","5","315","11  ","20251121","190308","20251124","062011","","PFCHD18     ",20251127,114559
